UF,Ano,CID10,Total
TO,2002,"Asfixia ao nascer, não especificada",23
TO,2002,Outras,369
TO,2003,Síndrome da angústia respiratória do recém-nascido,45
TO,2003,Septicemia bacteriana não especificada do recém-nascido,33
TO,2003,Diarréia e gastroenterite de origem infecciosa presumível,31
TO,2003,Outros recém-nascidos de pré-termo,26
TO,2003,Pneumonia congênita não especificada,25
TO,2003,Outras,359
TO,2004,Síndrome da angústia respiratória do recém-nascido,48
TO,2004,Outros recém-nascidos de pré-termo,35
TO,2004,Diarréia e gastroenterite de origem infecciosa presumível,31
TO,2004,Septicemia bacteriana não especificada do recém-nascido,31
TO,2004,Pneumonia não especificada,26
TO,2004,Outras,340
TO,2005,Outros recém-nascidos de pré-termo,34
TO,2005,Síndrome da angústia respiratória do recém-nascido,32
TO,2005,Pneumonia não especificada,23
TO,2005,Septicemia bacteriana não especificada do recém-nascido,21
TO,2005,Diarréia e gastroenterite de origem infecciosa presumível,19
TO,2005,Outras,319
TO,2006,Síndrome da angústia respiratória do recém-nascido,48
TO,2006,Outros recém-nascidos de pré-termo,26
TO,2006,Septicemia bacteriana não especificada do recém-nascido,23
TO,2006,Pneumonia não especificada,20
TO,2006,Imaturidade extrema,18
TO,2006,Outras,347
TO,2007,Síndrome da angústia respiratória do recém-nascido,29
TO,2007,Malformação não especificada do coração,26
TO,2007,Pneumonia não especificada,21
TO,2007,Septicemia bacteriana não especificada do recém-nascido,20
TO,2007,Aspiração neonatal de mecônio,19
TO,2007,Outras,311
TO,2008,Síndrome da angústia respiratória do recém-nascido,38
TO,2008,Septicemia bacteriana não especificada do recém-nascido,22
TO,2008,Outros recém-nascidos de pré-termo,17
TO,2008,Infecção própria do período perinatal não especificada,15
TO,2008,Malformação não especificada do coração,12
TO,2008,Outras,274
TO,2009,Síndrome da angústia respiratória do recém-nascido,40
TO,2009,Pneumonia não especificada,20
TO,2009,Septicemia bacteriana não especificada do recém-nascido,19
TO,2009,Imaturidade extrema,13
TO,2009,Outras causas mal definidas e as não especificadas de mortalidade,13
TO,2009,Outras,291
TO,2010,Síndrome da angústia respiratória do recém-nascido,26
TO,2010,Pneumonia não especificada,20
TO,2010,Imaturidade extrema,18
TO,2010,Aspiração neonatal de mecônio,17
TO,2010,Septicemia bacteriana não especificada do recém-nascido,17
TO,2010,Outras,288
TO,2011,Pneumonia não especificada,20
TO,2011,Septicemia bacteriana não especificada do recém-nascido,18
TO,2011,Feto e recém-nascido afetados por doenças maternas renais e das vias urinárias,16
TO,2011,Síndrome da angústia respiratória do recém-nascido,16
TO,2011,Aspiração neonatal de mecônio,14
TO,2011,Outras,288
TO,2012,Síndrome da angústia respiratória do recém-nascido,29
TO,2012,Septicemia bacteriana não especificada do recém-nascido,20
TO,2012,Outras causas mal definidas e as não especificadas de mortalidade,17
TO,2012,Outros recém-nascidos de pré-termo,16
TO,2012,Feto e recém-nascido afetados por transtornos maternos hipertensivos,11
TO,2012,Outras,228
TO,2013,Septicemia bacteriana não especificada do recém-nascido,22
TO,2013,Feto e recém-nascido afetados por doenças maternas renais e das vias urinárias,21
TO,2013,Síndrome da angústia respiratória do recém-nascido,14
TO,2013,Feto e recém-nascido afetados por transtornos maternos hipertensivos,11
TO,2013,Malformação não especificada do coração,10
TO,2013,Outras,232
TO,2014,Feto e recém-nascido afetados por doenças maternas renais e das vias urinárias,18
TO,2014,Síndrome da angústia respiratória do recém-nascido,14
TO,2014,Feto e recém-nascido afetados por transtornos maternos hipertensivos,14
TO,2014,Malformação não especificada do coração,10
TO,2014,Outras causas mal definidas e as não especificadas de mortalidade,10
TO,2014,Outras,229
TO,2015,Feto e recém-nascido afetados por doenças maternas renais e das vias urinárias,32
TO,2015,Feto e recém-nascido afetados por transtornos maternos hipertensivos,17
TO,2015,Malformação não especificada do coração,16
TO,2015,Síndrome da angústia respiratória do recém-nascido,11
TO,2015,Septicemia bacteriana não especificada do recém-nascido,10
TO,2015,Outras,226
MA,2000,Morte sem assistência,367
MA,2000,Afecções originadas no período perinatal não especificadas,238
MA,2000,Insuficiência respiratória do recém-nascido,98
MA,2000,Síndrome da angústia respiratória do recém-nascido,93
MA,2000,Disritmia cardíaca neonatal,72
MA,2000,Outras,917
MA,2001,Morte sem assistência,455
MA,2001,Insuficiência respiratória do recém-nascido,145
MA,2001,Septicemia bacteriana não especificada do recém-nascido,121
MA,2001,Síndrome da angústia respiratória do recém-nascido,119
MA,2001,Diarréia e gastroenterite de origem infecciosa presumível,89
MA,2001,Outras,1121
MA,2002,Morte sem assistência,400
MA,2002,Insuficiência respiratória do recém-nascido,197
MA,2002,Afecções originadas no período perinatal não especificadas,168
MA,2002,Septicemia bacteriana não especificada do recém-nascido,142
MA,2002,Síndrome da angústia respiratória do recém-nascido,118
MA,2002,Outras,1247
MA,2003,Morte sem assistência,392
MA,2003,Afecções originadas no período perinatal não especificadas,181
MA,2003,Insuficiência respiratória do recém-nascido,164
MA,2003,Síndrome da angústia respiratória do recém-nascido,134
MA,2003,Diarréia e gastroenterite de origem infecciosa presumível,111
MA,2003,Outras,1337
MA,2004,Morte sem assistência,300
MA,2004,Afecções originadas no período perinatal não especificadas,176
MA,2004,Septicemia bacteriana não especificada do recém-nascido,136
MA,2004,Insuficiência respiratória do recém-nascido,125
MA,2004,Síndrome da angústia respiratória do recém-nascido,117
MA,2004,Outras,1224
MA,2005,Diarréia e gastroenterite de origem infecciosa presumível,180
MA,2005,Síndrome da angústia respiratória do recém-nascido,179
MA,2005,Insuficiência respiratória do recém-nascido,166
MA,2005,Septicemia bacteriana não especificada do recém-nascido,136
MA,2005,Morte sem assistência,123
MA,2005,Outras,1552
MA,2006,Síndrome da angústia respiratória do recém-nascido,167
MA,2006,Diarréia e gastroenterite de origem infecciosa presumível,155
MA,2006,Septicemia bacteriana não especificada do recém-nascido,147
MA,2006,"Asfixia ao nascer, não especificada",84
MA,2006,Malformação não especificada do coração,80
MA,2006,Outras,1478
MA,2007,Síndrome da angústia respiratória do recém-nascido,152
MA,2007,Septicemia bacteriana não especificada do recém-nascido,138
MA,2007,Diarréia e gastroenterite de origem infecciosa presumível,94
MA,2007,"Asfixia ao nascer, não especificada",93
MA,2007,Malformação não especificada do coração,85
MA,2007,Outras,1479
MA,2008,Síndrome da angústia respiratória do recém-nascido,134
MA,2008,Septicemia bacteriana não especificada do recém-nascido,133
MA,2008,Diarréia e gastroenterite de origem infecciosa presumível,100
MA,2008,"Asfixia ao nascer, não especificada",92
MA,2008,Malformação não especificada do coração,80
MA,2008,Outras,1444
MA,2009,Septicemia bacteriana não especificada do recém-nascido,181
MA,2009,Síndrome da angústia respiratória do recém-nascido,113
MA,2009,"Asfixia ao nascer, não especificada",99
MA,2009,Malformação não especificada do coração,80
MA,2009,Diarréia e gastroenterite de origem infecciosa presumível,70
MA,2009,Outras,1382
MA,2010,Síndrome da angústia respiratória do recém-nascido,156
MA,2010,Septicemia bacteriana não especificada do recém-nascido,118
MA,2010,Malformação não especificada do coração,93
MA,2010,"Asfixia ao nascer, não especificada",86
MA,2010,Recém-nascido com peso muito baixo,75
MA,2010,Outras,1238
MA,2011,Síndrome da angústia respiratória do recém-nascido,138
MA,2011,Malformação não especificada do coração,137
MA,2011,Septicemia bacteriana não especificada do recém-nascido,134
MA,2011,"Asfixia ao nascer, não especificada",84
MA,2011,Pneumonia não especificada,82
MA,2011,Outras,1281
MA,2012,Septicemia bacteriana não especificada do recém-nascido,132
MA,2012,Síndrome da angústia respiratória do recém-nascido,115
MA,2012,Malformação não especificada do coração,96
MA,2012,Pneumonia não especificada,68
MA,2012,"Asfixia ao nascer, não especificada",68
MA,2012,Outras,1156
MA,2013,Síndrome da angústia respiratória do recém-nascido,132
MA,2013,Septicemia bacteriana não especificada do recém-nascido,131
MA,2013,Malformação não especificada do coração,83
MA,2013,"Asfixia ao nascer, não especificada",83
MA,2013,Pneumonia não especificada,74
MA,2013,Outras,1313
MA,2014,Septicemia bacteriana não especificada do recém-nascido,116
MA,2014,Malformação não especificada do coração,113
MA,2014,Síndrome da angústia respiratória do recém-nascido,110
MA,2014,"Asfixia ao nascer, não especificada",83
MA,2014,Pneumonia não especificada,82
MA,2014,Outras,1261
MA,2015,Septicemia bacteriana não especificada do recém-nascido,155
MA,2015,Malformação não especificada do coração,109
MA,2015,Síndrome da angústia respiratória do recém-nascido,104
MA,2015,"Asfixia ao nascer, não especificada",73
MA,2015,Aspiração neonatal de mecônio,60
MA,2015,Outras,1232
PI,2000,Afecções originadas no período perinatal não especificadas,192
PI,2000,Insuficiência respiratória do recém-nascido,138
PI,2000,Morte sem assistência,123
PI,2000,Síndrome da angústia respiratória do recém-nascido,85
PI,2000,Outras causas mal definidas e as não especificadas de mortalidade,78
PI,2000,Outras,815
PI,2001,Insuficiência respiratória do recém-nascido,139
PI,2001,Afecções originadas no período perinatal não especificadas,139
PI,2001,Morte sem assistência,109
PI,2001,Síndrome da angústia respiratória do recém-nascido,85
PI,2001,"Asfixia ao nascer, não especificada",64
PI,2001,Outras,836
PI,2002,Morte sem assistência,184
PI,2002,Insuficiência respiratória do recém-nascido,124
PI,2002,Síndrome da angústia respiratória do recém-nascido,89
PI,2002,Septicemia bacteriana não especificada do recém-nascido,71
PI,2002,"Asfixia ao nascer, não especificada",68
PI,2002,Outras,845
PI,2003,Insuficiência respiratória do recém-nascido,130
PI,2003,Morte sem assistência,126
PI,2003,Afecções originadas no período perinatal não especificadas,91
PI,2003,Síndrome da angústia respiratória do recém-nascido,75
PI,2003,Septicemia bacteriana não especificada do recém-nascido,66
PI,2003,Outras,875
PI,2004,Insuficiência respiratória do recém-nascido,101
PI,2004,Septicemia bacteriana não especificada do recém-nascido,79
PI,2004,Morte sem assistência,72
PI,2004,Afecções originadas no período perinatal não especificadas,70
PI,2004,Síndrome da angústia respiratória do recém-nascido,64
PI,2004,Outras,822
PI,2005,Insuficiência respiratória do recém-nascido,99
PI,2005,Síndrome da angústia respiratória do recém-nascido,84
PI,2005,Septicemia bacteriana não especificada do recém-nascido,79
PI,2005,Morte sem assistência,66
PI,2005,Afecções originadas no período perinatal não especificadas,65
PI,2005,Outras,881
PI,2006,Septicemia bacteriana não especificada do recém-nascido,77
PI,2006,Síndrome da angústia respiratória do recém-nascido,75
PI,2006,Diarréia e gastroenterite de origem infecciosa presumível,60
PI,2006,Malformação não especificada do coração,59
PI,2006,Outros recém-nascidos de peso baixo,54
PI,2006,Outras,892
PI,2007,Feto e recém-nascido afetados por ruptura prematura das membranas,65
PI,2007,Síndrome da angústia respiratória do recém-nascido,61
PI,2007,Malformação não especificada do coração,47
PI,2007,Recém-nascido com peso muito baixo,39
PI,2007,Diarréia e gastroenterite de origem infecciosa presumível,38
PI,2007,Outras,944
PI,2008,Feto e recém-nascido afetados por ruptura prematura das membranas,71
PI,2008,Síndrome da angústia respiratória do recém-nascido,69
PI,2008,Malformação não especificada do coração,49
PI,2008,Feto e recém-nascido afetados por doenças infecciosas e parasitárias da mãe,44
PI,2008,Feto e recém-nascido afetados por transtornos maternos hipertensivos,44
PI,2008,Outras,841
PI,2009,Síndrome da angústia respiratória do recém-nascido,63
PI,2009,Septicemia bacteriana não especificada do recém-nascido,56
PI,2009,Feto e recém-nascido afetados por ruptura prematura das membranas,53
PI,2009,Feto e recém-nascido afetados por transtornos maternos hipertensivos,49
PI,2009,Malformação não especificada do coração,44
PI,2009,Outras,783
PI,2010,Feto e recém-nascido afetados por doenças infecciosas e parasitárias da mãe,67
PI,2010,Septicemia bacteriana não especificada do recém-nascido,51
PI,2010,Feto e recém-nascido afetados por ruptura prematura das membranas,46
PI,2010,Malformação não especificada do coração,42
PI,2010,Síndrome da angústia respiratória do recém-nascido,32
PI,2010,Outras,694
PI,2011,Feto e recém-nascido afetados por doenças infecciosas e parasitárias da mãe,69
PI,2011,Síndrome da angústia respiratória do recém-nascido,56
PI,2011,Feto e recém-nascido afetados por ruptura prematura das membranas,51
PI,2011,Malformação não especificada do coração,51
PI,2011,Septicemia bacteriana não especificada do recém-nascido,42
PI,2011,Outras,670
PI,2012,Septicemia bacteriana não especificada do recém-nascido,50
PI,2012,Malformação não especificada do coração,49
PI,2012,Feto e recém-nascido afetados por doenças infecciosas e parasitárias da mãe,44
PI,2012,Síndrome da angústia respiratória do recém-nascido,43
PI,2012,Feto e recém-nascido afetados por ruptura prematura das membranas,41
PI,2012,Outras,654
PI,2013,Feto e recém-nascido afetados por transtornos maternos hipertensivos,53
PI,2013,Septicemia bacteriana não especificada do recém-nascido,45
PI,2013,Feto e recém-nascido afetados por ruptura prematura das membranas,39
PI,2013,Síndrome da angústia respiratória do recém-nascido,34
PI,2013,Malformação não especificada do coração,31
PI,2013,Outras,647
PI,2014,Malformação não especificada do coração,40
PI,2014,Feto e recém-nascido afetados por transtornos maternos hipertensivos,38
PI,2014,Síndrome da angústia respiratória do recém-nascido,37
PI,2014,Septicemia bacteriana não especificada do recém-nascido,36
PI,2014,Feto e recém-nascido afetados por ruptura prematura das membranas,35
PI,2014,Outras,623
PI,2015,Feto e recém-nascido afetados por transtornos maternos hipertensivos,59
PI,2015,Feto e recém-nascido afetados por ruptura prematura das membranas,36
PI,2015,Septicemia bacteriana não especificada do recém-nascido,35
PI,2015,Feto e recém-nascido afetados por outras formas de descolamento da placenta e hemorragia,31
PI,2015,Aspiração neonatal de mecônio,29
PI,2015,Outras,616
CE,2000,Diarréia e gastroenterite de origem infecciosa presumível,340
CE,2000,Morte sem assistência,316
CE,2000,Insuficiência respiratória do recém-nascido,275
CE,2000,Septicemia bacteriana não especificada do recém-nascido,265
CE,2000,Síndrome da angústia respiratória do recém-nascido,207
CE,2000,Outras,2413
CE,2001,Diarréia e gastroenterite de origem infecciosa presumível,268
CE,2001,Septicemia bacteriana não especificada do recém-nascido,232
CE,2001,Insuficiência respiratória do recém-nascido,217
CE,2001,Síndrome da angústia respiratória do recém-nascido,194
CE,2001,Morte sem assistência,169
CE,2001,Outras,2109
CE,2002,Diarréia e gastroenterite de origem infecciosa presumível,294
CE,2002,Síndrome da angústia respiratória do recém-nascido,272
CE,2002,Septicemia bacteriana não especificada do recém-nascido,260
CE,2002,Morte sem assistência,188
CE,2002,"Asfixia ao nascer, não especificada",135
CE,2002,Outras,2348
CE,2003,Síndrome da angústia respiratória do recém-nascido,290
CE,2003,Septicemia bacteriana não especificada do recém-nascido,242
CE,2003,Diarréia e gastroenterite de origem infecciosa presumível,222
CE,2003,Morte sem assistência,220
CE,2003,Outros recém-nascidos de pré-termo,178
CE,2003,Outras,2388
CE,2004,Síndrome da angústia respiratória do recém-nascido,261
CE,2004,Septicemia bacteriana não especificada do recém-nascido,238
CE,2004,"Asfixia ao nascer, não especificada",166
CE,2004,Diarréia e gastroenterite de origem infecciosa presumível,164
CE,2004,Afecções originadas no período perinatal não especificadas,162
CE,2004,Outras,2121
CE,2005,Septicemia bacteriana não especificada do recém-nascido,244
CE,2005,Síndrome da angústia respiratória do recém-nascido,225
CE,2005,Diarréia e gastroenterite de origem infecciosa presumível,126
CE,2005,"Asfixia ao nascer, não especificada",121
CE,2005,Septicemia não especificada,94
CE,2005,Outras,1783
CE,2006,Septicemia bacteriana não especificada do recém-nascido,234
CE,2006,Síndrome da angústia respiratória do recém-nascido,212
CE,2006,Diarréia e gastroenterite de origem infecciosa presumível,118
CE,2006,Malformação não especificada do coração,110
CE,2006,"Asfixia ao nascer, não especificada",104
CE,2006,Outras,1680
CE,2007,Septicemia bacteriana não especificada do recém-nascido,245
CE,2007,Síndrome da angústia respiratória do recém-nascido,158
CE,2007,Malformação não especificada do coração,104
CE,2007,"Asfixia ao nascer, não especificada",82
CE,2007,Diarréia e gastroenterite de origem infecciosa presumível,77
CE,2007,Outras,1498
CE,2008,Septicemia bacteriana não especificada do recém-nascido,200
CE,2008,Síndrome da angústia respiratória do recém-nascido,181
CE,2008,Malformação não especificada do coração,89
CE,2008,"Asfixia ao nascer, não especificada",89
CE,2008,Imaturidade extrema,83
CE,2008,Outras,1467
CE,2009,Septicemia bacteriana não especificada do recém-nascido,203
CE,2009,Síndrome da angústia respiratória do recém-nascido,181
CE,2009,Imaturidade extrema,81
CE,2009,Malformação não especificada do coração,81
CE,2009,"Asfixia ao nascer, não especificada",78
CE,2009,Outras,1414
CE,2010,Septicemia bacteriana não especificada do recém-nascido,166
CE,2010,Síndrome da angústia respiratória do recém-nascido,137
CE,2010,"Asfixia ao nascer, não especificada",85
CE,2010,Imaturidade extrema,78
CE,2010,Malformação não especificada do coração,68
CE,2010,Outras,1158
CE,2011,Septicemia bacteriana não especificada do recém-nascido,185
CE,2011,Síndrome da angústia respiratória do recém-nascido,158
CE,2011,Imaturidade extrema,74
CE,2011,"Asfixia ao nascer, não especificada",70
CE,2011,Pneumonia não especificada,69
CE,2011,Outras,1216
CE,2012,Septicemia bacteriana não especificada do recém-nascido,177
CE,2012,Síndrome da angústia respiratória do recém-nascido,145
CE,2012,"Asfixia ao nascer, não especificada",95
CE,2012,Malformação não especificada do coração,65
CE,2012,Imaturidade extrema,65
CE,2012,Outras,1070
CE,2013,Septicemia bacteriana não especificada do recém-nascido,198
CE,2013,Síndrome da angústia respiratória do recém-nascido,158
CE,2013,"Asfixia ao nascer, não especificada",85
CE,2013,Imaturidade extrema,64
CE,2013,Malformação não especificada do coração,58
CE,2013,Outras,1174
CE,2014,Septicemia bacteriana não especificada do recém-nascido,185
CE,2014,Síndrome da angústia respiratória do recém-nascido,117
CE,2014,Imaturidade extrema,93
CE,2014,"Asfixia ao nascer, não especificada",74
CE,2014,Malformação não especificada do coração,51
CE,2014,Outras,1068
CE,2015,Septicemia bacteriana não especificada do recém-nascido,185
CE,2015,Síndrome da angústia respiratória do recém-nascido,121
CE,2015,Malformação não especificada do coração,71
CE,2015,"Asfixia ao nascer, não especificada",69
CE,2015,Imaturidade extrema,51
CE,2015,Outras,1114
RN,2000,Morte sem assistência,152
RN,2000,Insuficiência respiratória do recém-nascido,149
RN,2000,Síndrome da angústia respiratória do recém-nascido,85
RN,2000,Septicemia bacteriana não especificada do recém-nascido,65
RN,2000,Diarréia e gastroenterite de origem infecciosa presumível,56
RN,2000,Outras,692
RN,2001,Insuficiência respiratória do recém-nascido,131
RN,2001,Síndrome da angústia respiratória do recém-nascido,81
RN,2001,Morte sem assistência,68
RN,2001,Septicemia bacteriana não especificada do recém-nascido,64
RN,2001,Pneumonia congênita não especificada,40
RN,2001,Outras,646
RN,2002,Insuficiência respiratória do recém-nascido,119
RN,2002,Síndrome da angústia respiratória do recém-nascido,103
RN,2002,Morte sem assistência,79
RN,2002,Septicemia bacteriana não especificada do recém-nascido,60
RN,2002,Pneumonia não especificada,45
RN,2002,Outras,709
RN,2003,Síndrome da angústia respiratória do recém-nascido,91
RN,2003,Septicemia bacteriana não especificada do recém-nascido,52
RN,2003,Morte sem assistência,44
RN,2003,Insuficiência respiratória do recém-nascido,42
RN,2003,Recém-nascido com peso muito baixo,33
RN,2003,Outras,644
RN,2004,Septicemia bacteriana não especificada do recém-nascido,82
RN,2004,Síndrome da angústia respiratória do recém-nascido,76
RN,2004,Recém-nascido com peso muito baixo,41
RN,2004,Pneumonia congênita não especificada,36
RN,2004,"Asfixia ao nascer, não especificada",35
RN,2004,Outras,663
RN,2005,Septicemia bacteriana não especificada do recém-nascido,85
RN,2005,Síndrome da angústia respiratória do recém-nascido,75
RN,2005,Recém-nascido com peso muito baixo,56
RN,2005,Outros recém-nascidos de peso baixo,43
RN,2005,"Asfixia ao nascer, não especificada",36
RN,2005,Outras,559
RN,2006,Septicemia bacteriana não especificada do recém-nascido,54
RN,2006,Recém-nascido com peso muito baixo,43
RN,2006,Síndrome da angústia respiratória do recém-nascido,31
RN,2006,Outros recém-nascidos de peso baixo,29
RN,2006,Malformação não especificada do coração,28
RN,2006,Outras,514
RN,2007,Septicemia bacteriana não especificada do recém-nascido,75
RN,2007,Síndrome da angústia respiratória do recém-nascido,57
RN,2007,Outros recém-nascidos de peso baixo,35
RN,2007,Malformação não especificada do coração,29
RN,2007,Recém-nascido com peso muito baixo,23
RN,2007,Outras,534
RN,2008,Septicemia bacteriana não especificada do recém-nascido,79
RN,2008,Síndrome da angústia respiratória do recém-nascido,71
RN,2008,Malformação não especificada do coração,47
RN,2008,Recém-nascido com peso muito baixo,42
RN,2008,"Asfixia ao nascer, não especificada",30
RN,2008,Outras,457
RN,2009,Septicemia bacteriana não especificada do recém-nascido,84
RN,2009,Síndrome da angústia respiratória do recém-nascido,52
RN,2009,Malformação não especificada do coração,44
RN,2009,"Asfixia ao nascer, não especificada",27
RN,2009,Pneumonia não especificada,24
RN,2009,Outras,448
RN,2010,Síndrome da angústia respiratória do recém-nascido,60
RN,2010,Septicemia bacteriana não especificada do recém-nascido,58
RN,2010,Malformação não especificada do coração,29
RN,2010,Imaturidade extrema,23
RN,2010,Septicemia não especificada,21
RN,2010,Outras,441
RN,2011,Septicemia bacteriana não especificada do recém-nascido,92
RN,2011,Síndrome da angústia respiratória do recém-nascido,63
RN,2011,Malformação não especificada do coração,37
RN,2011,Recém-nascido com peso muito baixo,17
RN,2011,Septicemia não especificada,15
RN,2011,Outras,412
RN,2012,Septicemia bacteriana não especificada do recém-nascido,91
RN,2012,Síndrome da angústia respiratória do recém-nascido,57
RN,2012,Malformação não especificada do coração,34
RN,2012,"Asfixia ao nascer, não especificada",21
RN,2012,Septicemia não especificada,20
RN,2012,Outras,431
RN,2013,Septicemia bacteriana não especificada do recém-nascido,76
RN,2013,Síndrome da angústia respiratória do recém-nascido,76
RN,2013,Malformação não especificada do coração,38
RN,2013,Recém-nascido com peso muito baixo,33
RN,2013,Pneumonia não especificada,21
RN,2013,Outras,427
RN,2014,Septicemia bacteriana não especificada do recém-nascido,84
RN,2014,Síndrome da angústia respiratória do recém-nascido,58
RN,2014,Malformação não especificada do coração,35
RN,2014,Recém-nascido com peso muito baixo,26
RN,2014,Feto e recém-nascido afetados por doenças maternas renais e das vias urinárias,17
RN,2014,Outras,395
RN,2015,Septicemia bacteriana não especificada do recém-nascido,66
RN,2015,Síndrome da angústia respiratória do recém-nascido,59
RN,2015,Malformação não especificada do coração,44
RN,2015,Pneumonia não especificada,15
RN,2015,Feto e recém-nascido afetados por doenças maternas renais e das vias urinárias,14
RN,2015,Outras,481
PB,2000,Morte sem assistência,457
PB,2000,Insuficiência respiratória do recém-nascido,128
PB,2000,Síndrome da angústia respiratória do recém-nascido,123
PB,2000,Septicemia bacteriana não especificada do recém-nascido,82
PB,2000,Outros recém-nascidos de pré-termo,79
PB,2000,Outras,1001
PB,2001,Morte sem assistência,234
PB,2001,Síndrome da angústia respiratória do recém-nascido,161
PB,2001,Insuficiência respiratória do recém-nascido,71
PB,2001,Septicemia do recém-nascido devida a outros estreptococos e aos não especificados,63
PB,2001,Septicemia bacteriana não especificada do recém-nascido,58
PB,2001,Outras,785
PB,2002,Morte sem assistência,245
PB,2002,Síndrome da angústia respiratória do recém-nascido,185
PB,2002,Septicemia bacteriana não especificada do recém-nascido,77
PB,2002,Diarréia e gastroenterite de origem infecciosa presumível,64
PB,2002,Septicemia do recém-nascido devida a outros estreptococos e aos não especificados,60
PB,2002,Outras,850
PB,2003,Síndrome da angústia respiratória do recém-nascido,185
PB,2003,Morte sem assistência,159
PB,2003,Septicemia bacteriana não especificada do recém-nascido,76
PB,2003,Diarréia e gastroenterite de origem infecciosa presumível,53
PB,2003,Candidíase neonatal,50
PB,2003,Outras,872
PB,2004,Síndrome da angústia respiratória do recém-nascido,165
PB,2004,Morte sem assistência,120
PB,2004,Septicemia bacteriana não especificada do recém-nascido,79
PB,2004,Insuficiência respiratória do recém-nascido,64
PB,2004,Diarréia e gastroenterite de origem infecciosa presumível,52
PB,2004,Outras,808
PB,2005,Síndrome da angústia respiratória do recém-nascido,117
PB,2005,Septicemia bacteriana não especificada do recém-nascido,102
PB,2005,Desconforto respiratório não especificado do recém-nascido,57
PB,2005,Morte sem assistência,53
PB,2005,Insuficiência respiratória do recém-nascido,49
PB,2005,Outras,819
PB,2006,Septicemia bacteriana não especificada do recém-nascido,127
PB,2006,Síndrome da angústia respiratória do recém-nascido,99
PB,2006,Infecção própria do período perinatal não especificada,42
PB,2006,Hipóxia intra-uterina não especificada,42
PB,2006,Diarréia e gastroenterite de origem infecciosa presumível,38
PB,2006,Outras,726
PB,2007,Septicemia bacteriana não especificada do recém-nascido,139
PB,2007,Síndrome da angústia respiratória do recém-nascido,115
PB,2007,Hipóxia intra-uterina não especificada,49
PB,2007,Desconforto respiratório não especificado do recém-nascido,37
PB,2007,Infecção própria do período perinatal não especificada,36
PB,2007,Outras,697
PB,2008,Septicemia bacteriana não especificada do recém-nascido,133
PB,2008,Síndrome da angústia respiratória do recém-nascido,100
PB,2008,Hipóxia intra-uterina não especificada,45
PB,2008,Pneumonia congênita não especificada,37
PB,2008,Malformação não especificada do coração,34
PB,2008,Outras,659
PB,2009,Septicemia bacteriana não especificada do recém-nascido,128
PB,2009,Síndrome da angústia respiratória do recém-nascido,101
PB,2009,Pneumonia congênita não especificada,47
PB,2009,Outras malformações congênitas especificadas do coração,27
PB,2009,Imaturidade extrema,26
PB,2009,Outras,538
PB,2010,Septicemia bacteriana não especificada do recém-nascido,105
PB,2010,Síndrome da angústia respiratória do recém-nascido,98
PB,2010,Pneumonia congênita não especificada,37
PB,2010,Outras malformações congênitas especificadas do coração,30
PB,2010,Malformação não especificada do coração,22
PB,2010,Outras,543
PB,2011,Septicemia bacteriana não especificada do recém-nascido,115
PB,2011,Síndrome da angústia respiratória do recém-nascido,71
PB,2011,Pneumonia congênita não especificada,29
PB,2011,Hipóxia intra-uterina diagnosticada durante o trabalho de parto e o parto,26
PB,2011,Malformações congênitas não especificadas,24
PB,2011,Outras,551
PB,2012,Septicemia bacteriana não especificada do recém-nascido,96
PB,2012,Síndrome da angústia respiratória do recém-nascido,84
PB,2012,Pneumonia congênita não especificada,33
PB,2012,Hipóxia intra-uterina diagnosticada durante o trabalho de parto e o parto,32
PB,2012,Imaturidade extrema,25
PB,2012,Outras,535
PB,2013,Septicemia bacteriana não especificada do recém-nascido,114
PB,2013,Síndrome da angústia respiratória do recém-nascido,92
PB,2013,Outras malformações congênitas especificadas do coração,41
PB,2013,Pneumonia congênita não especificada,33
PB,2013,Hipóxia intra-uterina diagnosticada durante o trabalho de parto e o parto,24
PB,2013,Outras,508
PB,2014,Septicemia bacteriana não especificada do recém-nascido,90
PB,2014,Síndrome da angústia respiratória do recém-nascido,67
PB,2014,Outras malformações congênitas especificadas do coração,38
PB,2014,Pneumonia congênita não especificada,26
PB,2014,Hipóxia intra-uterina diagnosticada durante o trabalho de parto e o parto,20
PB,2014,Outras,519
PB,2015,Septicemia bacteriana não especificada do recém-nascido,83
PB,2015,Síndrome da angústia respiratória do recém-nascido,46
PB,2015,Outras malformações congênitas especificadas do coração,34
PB,2015,Hipóxia intra-uterina diagnosticada durante o trabalho de parto e o parto,21
PB,2015,Pneumonia congênita não especificada,19
PB,2015,Outras,464
PE,2000,Morte sem assistência,971
PE,2000,Síndrome da angústia respiratória do recém-nascido,407
PE,2000,Diarréia e gastroenterite de origem infecciosa presumível,369
PE,2000,Septicemia bacteriana não especificada do recém-nascido,241
PE,2000,Insuficiência respiratória do recém-nascido,224
PE,2000,Outras,2648
PE,2001,Morte sem assistência,732
PE,2001,Síndrome da angústia respiratória do recém-nascido,370
PE,2001,Diarréia e gastroenterite de origem infecciosa presumível,266
PE,2001,Insuficiência respiratória do recém-nascido,218
PE,2001,Septicemia bacteriana não especificada do recém-nascido,217
PE,2001,Outras,2579
PE,2002,Morte sem assistência,514
PE,2002,Síndrome da angústia respiratória do recém-nascido,360
PE,2002,Diarréia e gastroenterite de origem infecciosa presumível,313
